Month,Star,Steps,StartDay,EndDay
JANUARY,1,20000,2,4
JANUARY,2,35000,5,7
JANUARY,3,70000,11,13
JANUARY,4,100000,16,18
JANUARY,5,150000,23,25
JANUARY,6,200000,31,31
FEBRUARY,1,30000,3,5
FEBRUARY,2,70000,8,10
FEBRUARY,3,100000,12,14
FEBRUARY,4,130000,18,20
FEBRUARY,5,170000,23,25
FEBRUARY,6,200000,28,28
MARCH,1,20000,1,3
MARCH,2,60000,6,8
MARCH,3,90000,11,13
MARCH,4,120000,18,20
MARCH,5,160000,23,25
MARCH,6,200000,31,31
APRIL,1,20000,2,4
APRIL,2,35000,5,7
APRIL,3,70000,10,13
APRIL,4,100000,16,18
APRIL,5,150000,23,25
APRIL,6,200000,30,30
MAY,1,30000,3,5
MAY,2,70000,8,10
MAY,3,100000,12,14
MAY,4,130000,17,20
MAY,5,170000,23,25
MAY,6,200000,31,31
JUNE,1,20000,2,4
JUNE,2,35000,5,7
JUNE,3,70000,11,13
JUNE,4,100000,16,18
JUNE,5,150000,23,25
JUNE,6,200000,30,30
JULY,1,25000,2,4
JULY,2,65000,6,8
JULY,3,100000,12,14
JULY,4,140000,17,19
JULY,5,180000,23,25
JULY,6,200000,31,31
AUGUST,1,20000,2,4
AUGUST,2,35000,5,7
AUGUST,3,70000,12,14
AUGUST,4,100000,16,18
AUGUST,5,150000,23,25
AUGUST,6,200000,31,31
SEPTEMBER,1,30000,3,5
SEPTEMBER,2,70000,8,10
SEPTEMBER,3,100000,12,14
SEPTEMBER,4,130000,18,20
SEPTEMBER,5,170000,23,25
SEPTEMBER,6,200000,30,30
OCTOBER,1,20000,1,3
OCTOBER,2,60000,6,8
OCTOBER,3,90000,11,13
OCTOBER,4,120000,18,20
OCTOBER,5,160000,23,25
OCTOBER,6,200000,31,31
NOVEMBER,1,30000,3,5
NOVEMBER,2,70000,8,10
NOVEMBER,3,100000,12,14
NOVEMBER,4,130000,18,20
NOVEMBER,5,170000,23,25
NOVEMBER,6,200000,30,30
DECEMBER,1,20000,1,3
DECEMBER,2,60000,6,8
DECEMBER,3,90000,11,13
DECEMBER,4,120000,18,20
DECEMBER,5,160000,23,25
DECEMBER,6,200000,31,31
